pivovar_id,distinct_kategorie,pocet_kategorii,ale_styly,ale_pocet_stylov,lager_styly,lager_pocet_stylov,wheat_styly,wheat_pocet_stylov,non_alco_styly,non_alco_pocet_stylov,sour_styly,sour_pocet_stylov,special_styly,special_pocet_stylov,dark_styly,dark_pocet_stylov,celkova_diverzita
2,"DARK, LAGER, SPECIAL",3,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,3
3,"ALE, DARK, LAGER, NON-ALCO, SPECIAL, WHEAT",6,ipa,1,pilsner,1,oatmeal,1,NULL,0,NULL,0,NULL,0,NULL,0,6
4,ALE,1,ipa,1,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,1
6,"ALE, DARK, LAGER, NON-ALCO, SPECIAL",5,"english pale ale, ipa",2,pilsner,1,NULL,0,NULL,0,NULL,0,NULL,0,bock,1,6
7,ALE,1,"american pale ale, ipa",2,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,2
9,"ALE, DARK, LAGER, SPECIAL",4,american pale ale,1,pilsner,1,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,4
10,"ALE, LAGER",2,ipa,1,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,2
12,"ALE, LAGER, SPECIAL",3,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,3
14,LAGER,1,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,1
15,"ALE, LAGER, SPECIAL",3,american pale ale,1,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,3
16,LAGER,1,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,1
17,"ALE, DARK, LAGER, SPECIAL, WHEAT",5,"amber, american pale ale, english pale ale, ipa",4,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,"bock, dunkel, stout",3,10
