id,nazov_piva,pivovar,mesto,kraj,hodnotenie,sezonnost,skupina_piv,styl,stupnovitost,alkohol_percento,horkost_IBU,pivovar_matched,pivovar_original,pivovar_id_1,pivovar_id_2
1,I.P.L. Simcoe,1. selský pivovárek Kroměříž,Kroměříž,Zlínský kraj,1.5,Neuvedené,single hop,India Pale Lager,13,5.199999809265137,50,1. selský pivovárek Kroměříž,1. selský pivovárek Kroměříž,719,NULL
2,Alleš Gute!,1. selský pivovárek Kroměříž,Kroměříž,Zlínský kraj,1.5,Neuvedené,Neuvedené,Märzen,13,5,Neuvedené,1. selský pivovárek Kroměříž,1. selský pivovárek Kroměříž,719,NULL
3,Imperátor,1. selský pivovárek Kroměříž,Kroměříž,Zlínský kraj,5.5,Neuvedené,Neuvedené,Strong Pale Lager světlý speciál,16,6.5,50,1. selský pivovárek Kroměříž,1. selský pivovárek Kroměříž,719,NULL
4,Krok do tmy,1. selský pivovárek Kroměříž,Kroměříž,Zlínský kraj,3.799999952316284,Neuvedené,Neuvedené,Dry Stout ( Stout ),12,4,30,1. selský pivovárek Kroměříž,1. selský pivovárek Kroměříž,719,NULL
5,McHugo,1. selský pivovárek Kroměříž,Kroměříž,Zlínský kraj,3.299999952316284,Neuvedené,Neuvedené,"American Amber Ale ( Amber Ale , Ale )",13,5.400000095367432,50,1. selský pivovárek Kroměříž,1. selský pivovárek Kroměříž,719,NULL
6,"Sedláček 11,5°",1. selský pivovárek Kroměříž,Kroměříž,Zlínský kraj,4,Neuvedené,Neuvedené,světlý ležák,11,4.099999904632568,30,1. selský pivovárek Kroměříž,1. selský pivovárek Kroměříž,719,NULL
7,Sedlák 12°,1. selský pivovárek Kroměříž,Kroměříž,Zlínský kraj,4.5,Neuvedené,Neuvedené,světlý ležák,12,4.900000095367432,50,1. selský pivovárek Kroměříž,1. selský pivovárek Kroměříž,719,NULL
8,Vaněk Ferdinand IPA,1. selský pivovárek Kroměříž,Kroměříž,Zlínský kraj,3.5,Neuvedené,Neuvedené,India Pale Ale ( Ale ),14,NULL,Neuvedené,1. selský pivovárek Kroměříž,1. selský pivovárek Kroměříž,719,NULL
9,Špalda,1. selský pivovárek Kroměříž,Kroměříž,Zlínský kraj,3,Neuvedené,Neuvedené,světlý ležák světlé pšeničné,12,4.099999904632568,30,1. selský pivovárek Kroměříž,1. selský pivovárek Kroměříž,719,NULL
10,Velký Mogul India Brown Lager,1. selský pivovárek Kroměříž,Kroměříž,Zlínský kraj,3,Neuvedené,Neuvedené,polotmavý ležák,12,4.5,60,1. selský pivovárek Kroměříž,1. selský pivovárek Kroměříž,719,NULL
11,Mala Antanta,Zichovec,Zichovec,Středočeský kraj,5.800000190734863,Neuvedené,Neuvedené,Cold IPA,17,7.699999809265137,Neuvedené,Zichovec,3Bir brewery - Zbir pivara Zichovec,639,NULL
12,Aronia,Agent,Olešnice v Orlických horách,Královéhradecký kraj,3.5,Neuvedené,"aróniové pivo ( ovocné pivo , ochucené pivo )","Session IPA ( India Pale Ale , Ale )",11,4.599999904632568,37,Agent,Agent,162,NULL
13,Helles Bells,Albert kočovný pivovar / Schrott Brewing Company,Brno,Jihomoravský kraj,3.5,Neuvedené,Neuvedené,Helles,12,NULL,Neuvedené,Albert kočovný pivovar / Schrott Brewing Company,Albert kočovný pivovar Schrott Brewing Company,83,103
14,Adalbert Ale,Albert kočovný pivovar,Brno,Jihomoravský kraj,5,Neuvedené,Neuvedené,Pale Ale ( Ale ),12,NULL,39,Albert kočovný pivovar,Albert kočovný pivovar,83,NULL
15,ADHD,Albert kočovný pivovar,Brno,Jihomoravský kraj,8,Neuvedené,Neuvedené,"Quadrupel ( Belgian Dark Strong Ale , Belgian Strong Ale , Belgian Ale , Ale )",21,9,35,Albert kočovný pivovar,Albert kočovný pivovar,83,NULL
16,Alba Pale Ale,Albert kočovný pivovar,Brno,Jihomoravský kraj,5.5,Neuvedené,Neuvedené,"American Pale Ale ( Pale Ale , Ale )",13,5.199999809265137,30,Albert kočovný pivovar,Albert kočovný pivovar,83,NULL
17,Ale No. 1,Albert kočovný pivovar,Brno,Jihomoravský kraj,7.5,Neuvedené,Neuvedené,"American Pale Ale ( Pale Ale , Ale )",12,4.900000095367432,36,Albert kočovný pivovar,Albert kočovný pivovar,83,NULL
18,Ale No. 8,Albert kočovný pivovar,Brno,Jihomoravský kraj,2,Neuvedené,Neuvedené,"American Pale Ale ( Pale Ale , Ale )",12,4.900000095367432,36,Albert kočovný pivovar,Albert kočovný pivovar,83,NULL
19,Amber Ale,Albert kočovný pivovar,Brno,Jihomoravský kraj,7,Neuvedené,Neuvedené,"American Amber Ale ( Amber Ale , Ale )",11,4.400000095367432,31,Albert kočovný pivovar,Albert kočovný pivovar,83,NULL
20,Desina,Albert kočovný pivovar,Brno,Jihomoravský kraj,4.5,Neuvedené,Neuvedené,světlé výčepní,10,NULL,Neuvedené,Albert kočovný pivovar,Albert kočovný pivovar,83,NULL
21,Tuplák Festbier,Antoš,Slaný,Středočeský kraj,7,Neuvedené,wet hop,Festbier Hell,12,5.5,Neuvedené,Antoš,Antoš,545,NULL
22,Velikonoční poklad (2024),Antoš,Slaný,Středočeský kraj,7.300000190734863,velikonoční,Neuvedené,Festbier Hell,14,6.199999809265137,Neuvedené,Antoš,Antoš,545,NULL
23,Very Merry Berry (rybíz),Antoš,Slaný,Středočeský kraj,7,Neuvedené,"černorybízové pivo ( ovocné pivo , ochucené pivo )",Gose,10,3.9000000953674316,9,Antoš,Antoš,545,NULL
24,White Head Ale,Antoš,Slaný,Středočeský kraj,3.5,Neuvedené,Neuvedené,Wheat Ale,11,4.400000095367432,Neuvedené,Antoš,Antoš,545,NULL
25,Xingu,Antoš,Slaný,Středočeský kraj,6,Neuvedené,Neuvedené,tmavý ležák,12,4.599999904632568,Neuvedené,Antoš,Antoš Cervejas Premium do Brasil,545,NULL
26,Zlatý Kozák,Antoš,Slaný,Středočeský kraj,6.400000095367432,Neuvedené,Neuvedené,světlý speciál,15,6.5,Neuvedené,Antoš,Antoš,545,NULL
27,Klondike APA,Antoš,Slaný,Středočeský kraj,3,Neuvedené,single hop,"American Pale Ale ( Pale Ale , Ale )",13,5.599999904632568,Neuvedené,Antoš,Antoš,545,NULL
28,Pumpkin Ale,Antoš,Slaný,Středočeský kraj,5.5,halloweenské / dušičkové,Neuvedené,Pumpkin Ale ( Ale ),13,5.599999904632568,Neuvedené,Antoš,Antoš,545,NULL
29,Red Comet,Antoš,Slaný,Středočeský kraj,3.299999952316284,Neuvedené,Neuvedené,"Red IPA ( India Pale Ale , Ale )",15,6.5,Neuvedené,Antoš,Antoš,545,NULL
30,Rose Wit,Antoš,Slaný,Středočeský kraj,6.300000190734863,Neuvedené,bylinné pivo ( ochucené pivo ),Belgian Witbier,12,4.5,Neuvedené,Antoš,Antoš,545,NULL
31,vánoční Bock,Antoš,Slaný,Středočeský kraj,6.300000190734863,vánoční,Neuvedené,Dunkler Bock ( Bock ),16,6.599999904632568,Neuvedené,Antoš,Antoš,545,NULL
32,APA 12°,Apa★Che,Praha,Hlavní město Praha,5.5,Neuvedené,Neuvedené,"American Pale Ale ( Pale Ale , Ale )",12,5,46,Apa★Che,Apa★Che,429,NULL
33,Argus 10 Original,Platan Protivín,Protivín,Jihočeský kraj,4.300000190734863,Neuvedené,Neuvedené,světlé výčepní,10,4,Neuvedené,Platan Protivín,Platan Protivín,36,NULL
34,Argus 11 Granát,Platan Protivín,Protivín,Jihočeský kraj,5.699999809265137,Neuvedené,Neuvedené,polotmavý ležák,11,4.300000190734863,Neuvedené,Platan Protivín,Platan Protivín,36,NULL
35,Argus 11 Nepasterizovaný,Konrad,Vratislavice nad Nisou,Liberecký kraj,4,Neuvedené,Neuvedené,světlý ležák,11,4.800000190734863,Neuvedené,Konrad,Konrad,206,NULL
36,Argus 11 Premium,Konrad,Vratislavice nad Nisou,Liberecký kraj,3.799999952316284,Neuvedené,Neuvedené,světlý ležák,11,4.800000190734863,Neuvedené,Konrad,Konrad,206,NULL
37,Argus 12 Černý,Platan Protivín,Protivín,Jihočeský kraj,6.800000190734863,Neuvedené,Neuvedené,tmavý ležák,12,4.699999809265137,Neuvedené,Platan Protivín,Platan Protivín,36,NULL
38,Argus 12 Maestic,Platan Protivín,Protivín,Jihočeský kraj,5,Neuvedené,Neuvedené,světlý ležák Bohemian Pilsner ( Pilsner ),12,4.800000190734863,Neuvedené,Platan Protivín,Platan Protivín,36,NULL
39,Argus 14 Special,Konrad,Vratislavice nad Nisou,Liberecký kraj,4.300000190734863,Neuvedené,Neuvedené,světlý speciál,14,6,Neuvedené,Konrad,Konrad,206,NULL
40,Argus 16 Strong,Konrad,Vratislavice nad Nisou,Liberecký kraj,5.5,Neuvedené,Neuvedené,polotmavý speciál,16,7,Neuvedené,Konrad,Konrad,206,NULL
41,Argus Classic,Zubr,Přerov,Olomoucký kraj,4,Neuvedené,Neuvedené,světlé výčepní,NULL,4,Neuvedené,Zubr,Zubr,339,NULL
42,Argus Nealko,Platan Protivín,Protivín,Jihočeský kraj,4.5,Neuvedené,Neuvedené,nealko ležák ( nealkoholické pivo ),NULL,0.5,Neuvedené,Platan Protivín,Platan Protivín,36,NULL
43,Argus Pšeničné,Vysoký Chlumec,Vysoký Chlumec,Středočeský kraj,6,Neuvedené,Neuvedené,German Hefeweizen,NULL,4.300000190734863,Neuvedené,Vysoký Chlumec,Vysoký Chlumec,634,NULL
44,Arnošt 10°,Zámecký pivovar Frýdlant,Frýdlant,Liberecký kraj,7,jednorázová várka,Neuvedené,světlé výčepní,10,4,Neuvedené,Zámecký pivovar Frýdlant,Zámecký pivovar Frýdlant,226,NULL
45,Ale Pale,Arnošt,Pardubice,Pardubický kraj,3.5,Neuvedené,Neuvedené,Pale Ale ( Ale ),NULL,5.5,52,Arnošt,Arnošt,340,NULL
46,Atrium / Sibeeria Pilsful Treaty,Sibeeria,Praha,Hlavní město Praha,6.5,Neuvedené,Neuvedené,Pilsner,13,6,30,Sibeeria,Sibeeria,507,NULL
47,Saison Bohémienne,Baron / Sibeeria,Praha,Hlavní město Praha,8,Neuvedené,Neuvedené,Saison,NULL,5,Neuvedené,Baron / Sibeeria,Brasserie Au Baron Sibeeria,164,507
48,Mango a Chilli,Automat Matuška,Praha,Hlavní město Praha,7,Neuvedené,"mango pivo ( ovocné pivo , ochucené pivo ) chilli pivo ( ochucené pivo )",Pastry Sour ( Sour Ale ),17,6.5,5,Automat Matuška,Automat Matuška,430,NULL
49,Zázvor a Citrusy,Automat Matuška,Praha,Hlavní město Praha,7,Neuvedené,"zázvorové pivo ( ochucené pivo ) mandarinkové pivo ( ovocné pivo , ochucené pivo ) pomerančové pivo ( ovocné pivo , ochucené pivo ) limetkové pivo ( ovocné pivo , ochucené pivo )",Sour Ale,13,5.5,5,Automat Matuška,Automat Matuška,430,NULL
50,světlé výčepní,Avar,Hlučín,Moravskoslezský kraj,5,Neuvedené,Neuvedené,světlé výčepní,10,NULL,Neuvedené,Avar,Avar,231,NULL
51,světlý ležák,Avar,Hlučín,Moravskoslezský kraj,5,Neuvedené,Neuvedené,světlý ležák Bohemian Pilsner ( Pilsner ),12,5,24,Avar,Avar,231,NULL
52,světlý ležák kvasnicový,Avar,Hlučín,Moravskoslezský kraj,5,Neuvedené,Neuvedené,světlý ležák,12,NULL,Neuvedené,Avar,Avar,231,NULL
53,tmavý ležák,Avar,Hlučín,Moravskoslezský kraj,5.5,Neuvedené,Neuvedené,tmavý ležák,12,5,Neuvedené,Avar,Avar,231,NULL
54,tmavý ležák kvasnicový,Avar,Hlučín,Moravskoslezský kraj,5.5,Neuvedené,Neuvedené,tmavý ležák,12,NULL,Neuvedené,Avar,Avar,231,NULL
55,Stormbreaker Triple NEIPA,Axiom,Prostějov,Olomoucký kraj,6.5,Neuvedené,Neuvedené,"New England IPA ( India Pale Ale , Ale ) Double IPA ( India Pale Ale , Ale )",21,9,Neuvedené,Axiom,Axiom Deer Bear,289,NULL
56,Acid Trip,Axiom,Prostějov,Olomoucký kraj,7.5,Neuvedené,Neuvedené,India Pale Ale ( Ale ) Sour Ale,19,7.5,40,Axiom,Axiom,289,NULL
57,Ascent,Axiom,Prostějov,Olomoucký kraj,6,Neuvedené,"ananasové pivo ( ovocné pivo , ochucené pivo )",Sour Ale India Pale Ale ( Ale ),21,7,30,Axiom,Axiom,289,NULL
58,Autumn Lullaby,Axiom,Prostějov,Olomoucký kraj,7,Neuvedené,Neuvedené,"American Pale Ale ( Pale Ale , Ale )",14,5.5,15,Axiom,Axiom,289,NULL
59,Caledonia IPA,Axiom,Prostějov,Olomoucký kraj,6.5,Neuvedené,Neuvedené,"American IPA ( India Pale Ale , Ale )",14,6.199999809265137,52,Axiom,Axiom,289,NULL
60,Flivver,Axiom,Prostějov,Olomoucký kraj,6.199999809265137,Neuvedené,Neuvedené,American Barleywine ( Barley Wine ),25,11,Neuvedené,Axiom,Axiom,289,NULL
61,Foam Climb,Axiom,Prostějov,Olomoucký kraj,6,Neuvedené,Neuvedené,"American IPA ( India Pale Ale , Ale )",15,6.5,50,Axiom,Axiom,289,NULL
62,Gonza,Axiom,Prostějov,Olomoucký kraj,5.300000190734863,Neuvedené,Neuvedené,"American Pale Ale ( Pale Ale , Ale )",14,5.5,27,Axiom,Axiom,289,NULL
63,Grand Bankster,Axiom,Prostějov,Olomoucký kraj,6.5,Neuvedené,Neuvedené,"New England IPA ( India Pale Ale , Ale )",17,7,Neuvedené,Axiom,Axiom,289,NULL
64,Griffin,Axiom,Prostějov,Olomoucký kraj,7,Neuvedené,Neuvedené,India Pale Lager,11,4.5,25,Axiom,Axiom,289,NULL
65,Hejlejl,Axiom,Prostějov,Olomoucký kraj,2.799999952316284,Neuvedené,Neuvedené,"American Pale Ale ( Pale Ale , Ale )",13,5.5,27,Axiom,Axiom,289,NULL
66,Hop Grenade: Vic Secret,Axiom,Prostějov,Olomoucký kraj,6.800000190734863,Neuvedené,single hop,India Pale Ale ( Ale ),15,6.199999809265137,Neuvedené,Axiom,Axiom,289,NULL
67,Hop Charger,Axiom,Prostějov,Olomoucký kraj,7.5,Neuvedené,Neuvedené,"Double IPA ( India Pale Ale , Ale )",18,8,65,Axiom,Axiom,289,NULL
68,Hopscade,Axiom,Prostějov,Olomoucký kraj,7,Neuvedené,Neuvedené,"American Pale Ale ( Pale Ale , Ale )",15,6,25,Axiom,Axiom,289,NULL
69,Juicy Break Pineapple,Axiom,Prostějov,Olomoucký kraj,6,Neuvedené,Neuvedené,"New England IPA ( India Pale Ale , Ale )",16,7,35,Axiom,Axiom,289,NULL
70,Low Flow Grapefruit,Axiom,Prostějov,Olomoucký kraj,7,Neuvedené,"grapefruitové pivo ( ovocné pivo , ochucené pivo )","New England IPA ( India Pale Ale , Ale )",13,5.5,20,Axiom,Axiom,289,NULL
