id,nazov_piva,pivovar,pivovar_id_1,pivovar_id_2,sezonnost,skupina_piv,styl,kategoria1,kategoria2,kategoria3,podkategoria
1,I.P.L. Simcoe,1. selský pivovárek Kroměříž,719,NULL,Neuvedené,single hop,India Pale Lager,Lager,NULL,NULL,IPL
2,Alleš Gute!,1. selský pivovárek Kroměříž,719,NULL,Neuvedené,Neuvedené,Märzen,Lager,NULL,NULL,Märzen
3,Imperátor,1. selský pivovárek Kroměříž,719,NULL,Neuvedené,Neuvedené,Strong Pale Lager světlý speciál,Lager,Special,NULL,NULL
4,Krok do tmy,1. selský pivovárek Kroměříž,719,NULL,Neuvedené,Neuvedené,Dry Stout ( Stout ),Ale,Dark,NULL,Stout
5,McHugo,1. selský pivovárek Kroměříž,719,NULL,Neuvedené,Neuvedené,"American Amber Ale ( Amber Ale , Ale )",Ale,NULL,NULL,Amber
6,"Sedláček 11,5°",1. selský pivovárek Kroměříž,719,NULL,Neuvedené,Neuvedené,světlý ležák,Lager,NULL,NULL,NULL
7,Sedlák 12°,1. selský pivovárek Kroměříž,719,NULL,Neuvedené,Neuvedené,světlý ležák,Lager,NULL,NULL,NULL
8,Vaněk Ferdinand IPA,1. selský pivovárek Kroměříž,719,NULL,Neuvedené,Neuvedené,India Pale Ale ( Ale ),Ale,NULL,NULL,IPA
9,Špalda,1. selský pivovárek Kroměříž,719,NULL,Neuvedené,Neuvedené,světlý ležák světlé pšeničné,Lager,Wheat,NULL,NULL
10,Velký Mogul India Brown Lager,1. selský pivovárek Kroměříž,719,NULL,Neuvedené,Neuvedené,polotmavý ležák,Lager,NULL,NULL,Polotmavý
11,Mala Antanta,Zichovec,639,NULL,Neuvedené,Neuvedené,Cold IPA,Ale,NULL,NULL,IPA
12,Aronia,Agent,162,NULL,Neuvedené,"aróniové pivo ( ovocné pivo , ochucené pivo )","Session IPA ( India Pale Ale , Ale )",Ale,NULL,NULL,IPA
13,Helles Bells,Albert kočovný pivovar / Schrott Brewing Company,83,103,Neuvedené,Neuvedené,Helles,Lager,NULL,NULL,Helles
14,Adalbert Ale,Albert kočovný pivovar,83,NULL,Neuvedené,Neuvedené,Pale Ale ( Ale ),Ale,NULL,NULL,NULL
15,ADHD,Albert kočovný pivovar,83,NULL,Neuvedené,Neuvedené,"Quadrupel ( Belgian Dark Strong Ale , Belgian Strong Ale , Belgian Ale , Ale )",Ale,NULL,NULL,Belgian
16,Alba Pale Ale,Albert kočovný pivovar,83,NULL,Neuvedené,Neuvedené,"American Pale Ale ( Pale Ale , Ale )",Ale,NULL,NULL,American Pale Ale
17,Ale No. 1,Albert kočovný pivovar,83,NULL,Neuvedené,Neuvedené,"American Pale Ale ( Pale Ale , Ale )",Ale,NULL,NULL,American Pale Ale
18,Ale No. 8,Albert kočovný pivovar,83,NULL,Neuvedené,Neuvedené,"American Pale Ale ( Pale Ale , Ale )",Ale,NULL,NULL,American Pale Ale
19,Amber Ale,Albert kočovný pivovar,83,NULL,Neuvedené,Neuvedené,"American Amber Ale ( Amber Ale , Ale )",Ale,NULL,NULL,Amber
20,Desina,Albert kočovný pivovar,83,NULL,Neuvedené,Neuvedené,světlé výčepní,Lager,NULL,NULL,NULL
21,Tuplák Festbier,Antoš,545,NULL,Neuvedené,wet hop,Festbier Hell,Lager,NULL,NULL,Festbier
