id,nazev_pivovaru,detail_nazvu,zeme,typ,mesto,kraj,adresa,zalozeno,ico,ico_obchodni_jmeno,web,prodejna,prodejna_vycap
1,Bajer,NULL,Česká republika,uzavřený pivovar,Frymburk,Jihočeský kraj,"Kovářov 13, 38226 Frymburk",2019,1134710,Petr Bajer,http://www.divoch.net/,0,0
2,Beeranek,NULL,Česká republika,restaurační pivovar,České Budějovice,Jihočeský kraj,"Česká 7/55, České Budějovice",2014,NULL,Radim Beránek fyzická osoba,https://beeranek.cz,1,1
3,Bohemia Regent,NULL,Česká republika,průmyslový pivovar,Třeboň,Jihočeský kraj,"Trocnovské náměstí 124, Třeboň",1379,25189298,Bohemia Regent spol. s r.o.,https://www.pivovar-regent.cz/,1,1
4,Brandlínská Kuna,NULL,Česká republika,minipivovar,Brandlín,Jihočeský kraj,"Brandlín 46, 392 01 Tučapy",2019,88352552,Lukáš Mládek fyzická osoba,www.pivovarkuna.cz,1,0
5,Březí koza,NULL,Česká republika,minipivovar,Vlachovo Březí,Jihočeský kraj,"Vlachova 353, 38422 Vlachovo Březí",2019,NULL,Panský pivovar Vlachovo Březí s.r.o.,https://brezikoza.cz,1,1
6,Budweiser Budvar,NULL,Česká republika,průmyslový pivovar,České Budějovice,Jihočeský kraj,"Karolíny Světlé 512/4, České Budějovice",1895,514152,"Budějovický Budvar, národní podnik, Budweiser Budvar, National Corporation, Budweiser Budvar, Entreprise Nationale",https://www.budejovickybudvar.cz/,1,1
7,Bukovar,NULL,Česká republika,minipivovar,Dolní Bukovsko,Jihočeský kraj,"Jiráskovo 54, Dolní Bukovsko",2018,4483588,Rodinný pivovar Bukovar s.r.o.,https://bukovar.cz,1,1
8,Čejetice,NULL,Česká republika,minipivovar,Čejetice,Jihočeský kraj,"Čejetice 13, Čejetice",2020,251054,Obec Čejetice,https://www.pivovarcejetice.cz/,1,1
9,Český Krumlov,Eggenberg,Česká republika,minipivovar,Český Krumlov,Jihočeský kraj,"Pivovarská 27, Český Krumlov",1560,38041,Bytové družstvo Český Krumlov,https://www.pivovarceskykrumlov.cz/,1,1
10,Čížová,NULL,Česká republika,minipivovar,Čížová,Jihočeský kraj,"Čížová 1, 398 31 Čížová",2019,1909878,Pivovar Čížová s.r.o.,https://www.pivovarcizova.cz/,1,NULL
11,DOUBLE*BEER,NULL,Česká republika,minipivovar,Doudleby,Jihočeský kraj,"Doudleby 65, 370 07 Doudleby",2022,14265273,DOUDLEBEER s.r.o.,www.doudlebeer.cz,1,0
12,Glokner,NULL,Česká republika,restaurační pivovar,Mirkovice,Jihočeský kraj,"Svachova Lhotka 1, Mirkovice",2013,NULL,NULL,https://www.svachovka.cz/restaurace-a-pivovar#pivovar-svachovka,1,1
13,Haďák,NULL,Česká republika,minipivovar,Strakonice,Jihočeský kraj,"Čelakovského 289, 386 01 Strakonice",2019,47541245,HADAK  s.r.o.,https://www.facebook.com/Minipivovarhadak/,0,NULL
